tanggal,wilayah,tavg,rh_avg,rr,ff_avg,tavg_imputed,rh_avg_imputed,ff_avg_imputed,rr_imputed,dum_ramadan,dum_idulfitri,dum_natal_newyr,tahun,tavg_flag,rh_avg_flag,ff_avg_flag,imputasi_flag,tavg_final,rh_avg_final,ff_avg_final,kabupaten,kode_wilayah,level_harga,komoditas,harga,harga_imputed
2021-06-26,Kota Bandung,22.7,84.0,2.9,1,22.7,84.0,1,False,0,0,0,2021,False,False,False,False,22.7,84.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-27,Kota Bandung,23.2,80.0,0.7,1,23.2,80.0,1,False,0,0,0,2021,False,False,False,False,23.2,80.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-28,Kota Bandung,22.7,86.0,0.0,1,22.7,86.0,1,False,0,0,0,2021,False,False,False,False,22.7,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-29,Kota Bandung,23.1,79.0,0.2,1,23.1,79.0,1,False,0,0,0,2021,False,False,False,False,23.1,79.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-30,Kota Bandung,22.3,82.0,0.1,1,22.3,82.0,1,False,0,0,0,2021,False,False,False,False,22.3,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-07-01,Kota Bandung,22.5,86.0,2.0,2,22.5,86.0,2,False,0,0,0,2021,False,False,False,False,22.5,86.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,42000.0,False
2021-07-02,Kota Bandung,22.5,82.0,20.4,1,22.5,82.0,1,False,0,0,0,2021,False,False,False,False,22.5,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,42000.0,False
2021-07-03,Kota Bandung,23.1,74.0,0.0,1,23.1,74.0,1,False,0,0,0,2021,False,False,False,False,23.1,74.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,42000.0,False
2021-07-04,Kota Bandung,23.3,74.0,0.0,1,23.3,74.0,1,False,0,0,0,2021,False,False,False,False,23.3,74.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-07-05,Kota Bandung,24.2,74.0,0.0,2,24.2,74.0,2,False,0,0,0,2021,False,False,False,False,24.2,74.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-07-06,Kota Bandung,22.8,65.0,0.0,3,22.8,65.0,3,False,0,0,0,2021,False,False,False,False,22.8,65.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-07-07,Kota Bandung,22.1,73.0,0.0,1,22.1,73.0,1,False,0,0,0,2021,False,False,False,False,22.1,73.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-07-08,Kota Bandung,22.3,67.0,0.0,1,22.3,67.0,1,False,0,0,0,2021,False,False,False,False,22.3,67.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
